Chip ID,StdOrder,RunOrder,CenterPt,Blocks,Er,Yb,Deposition Time,Pressure,Lifetime_100us_pump,Reflection (%),Transmission (%),n,d,WG Modes Air,WG Modes Canola,Purcell Factor,Purcell Factor (nWG)
T10,11,7,0,1,0,0,0,0,10.74214331,0.107681129,91.54810308,1.6181,0.6988,2,0,1.010664342,1.926510034
T11,10,8,0,1,0,0,0,0,10.65480485,0.096243552,91.68918364,1.6158,0.6819,2,0,1.019608567,1.911528182
T14,6,9,1,1,1,-1,1,-1,10.4077505,1.34630995,91.65050973,,,,,,
T15,3,10,1,2,-1,1,-1,1,11.80880924,0.39786809,93.30466254,1.6072,0.9697,2,0,0.941581852,1.77794809
T16,9,11,0,2,0,0,0,0,11.25650445,0.830331348,92.80535903,1.6119,1.052,2,0,0.922741454,1.71708833
T2,5,1,1,1,-1,-1,1,1,12.47884109,0.173159657,92.64494683,1.5881,1.0821,2,0,0.937987022,1.67757929
T20,17,12,1,2,1,1,1,-1,12.94533806,5.109872582,89.68677357,,,,,,
T21,18,13,1,2,-1,-1,-1,1,12.25159939,4.614486095,91.92011411,1.6058,1.1967,2,0,0.915715712,1.623166626
T22,14,14,1,2,-1,1,1,1,12.13604322,0.213593294,92.38973635,1.6185,1.5517,2,2,0.924205206,1.678193602
T23,20,15,0,2,0,0,0,0,11.18623793,0.348863478,92.67882306,1.6132,1.0751,2,0,0.918923185,1.700869457
T24,15,16,1,2,-1,-1,1,-1,12.32331011,0.588809975,92.36389275,1.6048,2.3665,4,0,0.931252742,1.651321985
T25,12,17,1,2,1,1,-1,1,10.11742892,4.609704851,91.82896316,1.6791,1.4214,4,2,1.066478675,1.573896122
T26,13,18,1,2,1,-1,1,1,11.79226872,0.126495692,91.97231582,1.6308,2.0468,4,2,1.045898232,1.454932974
T27,16,19,1,2,1,-1,-1,-1,10.84712356,11.09472064,91.92105499,1.631,1.7988,4,2,1.026450387,1.546765062
T28,19,20,1,2,-1,1,-1,-1,12.06699139,0.438708055,91.62338515,1.6308,2.5432,6,2,1.06334163,1.629516656
T29,21,21,0,2,0,0,0,0,11.3971845,0.213316592,92.31078352,1.6026,0.8407,2,0,0.978618374,1.85444131
T4,4,2,1,1,1,1,-1,-1,1.541385967,0.240194881,90.47366544,1.6868,0.6425,2,2,1.042223751,1.568816976
T5,1,3,1,1,-1,-1,-1,-1,12.97197339,0.171109861,92.16233327,1.5801,0.7351,2,0,1.036182011,1.756577622
T6,8,4,1,1,1,1,1,1,10.13176965,0.305796612,90.87280346,1.6613,1.2078,3,2,1.065116403,1.231003467
T7,2,5,1,1,1,-1,-1,1,10.87004573,0.138846881,93.05080868,1.6191,0.4802,2,0,1.100583337,1.622332142
T8,7,6,1,1,-1,1,1,-1,11.66449892,0.190926617,91.96550567,1.6297,1.7061,4,2,1.010561222,1.579630676
