Sample ID,StdOrder,RunOrder,CenterPt,Blocks,Er,Yb,Deposition Time,Pressure,Lifetime_100us_pump,Reflection (%),Transmission (%),n,d
T2,5,1,1,1,-1,-1,1,1,12.47884109,0.173159657,92.64494683,1.5881,1.0821
T4,4,2,1,1,1,1,-1,-1,1.541385967,0.240194881,90.47366544,1.6868,0.6425
T5,1,3,1,1,-1,-1,-1,-1,12.97197339,0.171109861,92.16233327,1.5801,0.7351
T6,8,4,1,1,1,1,1,1,10.13176965,0.305796612,90.87280346,1.6613,1.2078
T7,2,5,1,1,1,-1,-1,1,10.87004573,0.138846881,93.05080868,1.6191,0.4802
T8,7,6,1,1,-1,1,1,-1,11.66449892,0.190926617,91.96550567,1.6297,1.7061
T10,11,7,0,1,0,0,0,0,10.74214331,0.107681129,91.54810308,1.6181,0.6988
T11,10,8,0,1,0,0,0,0,10.65480485,0.096243552,91.68918364,1.6158,0.6819
T14,6,9,1,1,1,-1,1,-1,10.4077505,1.34630995,91.65050973,,
T15,3,10,1,2,-1,1,-1,1,11.80880924,0.39786809,93.30466254,1.6072,0.9697
T16,9,11,0,2,0,0,0,0,11.25650445,0.830331348,92.80535903,1.6119,1.052
T20,17,12,1,2,1,1,1,-1,12.94533806,5.109872582,89.68677357,,
T21,18,13,1,2,-1,-1,-1,1,12.25159939,4.614486095,91.92011411,1.6058,1.1967
T22,14,14,1,2,-1,1,1,1,12.13604322,0.213593294,92.38973635,1.6185,1.5517
T23,20,15,0,2,0,0,0,0,11.18623793,0.348863478,92.67882306,1.6132,1.0751
T24,15,16,1,2,-1,-1,1,-1,12.32331011,0.588809975,92.36389275,1.6048,2.3665
T25,12,17,1,2,1,1,-1,1,10.11742892,4.609704851,91.82896316,1.6791,1.4214
T26,13,18,1,2,1,-1,1,1,11.79226872,0.126495692,91.97231582,1.6308,2.0468
T27,16,19,1,2,1,-1,-1,-1,10.84712356,11.09472064,91.92105499,1.631,1.7988
T28,19,20,1,2,-1,1,-1,-1,12.06699139,0.438708055,91.62338515,1.6308,2.5432
T29,21,21,0,2,0,0,0,0,11.3971845,0.213316592,92.31078352,1.6026,0.8407
