,Sample ID,StdOrder,RunOrder,CenterPt,Blocks,Er,Yb,Deposition Time,Pressure,Lifetime_100us_pump,Reflection (%),Transmission (%),n,d,Purcell Factor,WG Modes Air,WG Modes Canola
0,T2,5,1,1,1,-1,-1,1,1,12.47884109,0.173159657,92.64494683,1.5881,1.0821,0.936891969,2.0,0.0
1,T4,4,2,1,1,1,1,-1,-1,1.5413859669999999,0.24019488100000003,90.47366544,1.6868,0.6425,1.042422918,2.0,2.0
2,T5,1,3,1,1,-1,-1,-1,-1,12.97197339,0.171109861,92.16233327,1.5801,0.7351,1.036739436,2.0,0.0
3,T6,8,4,1,1,1,1,1,1,10.13176965,0.30579661199999997,90.87280346,1.6613,1.2078,1.064595457,3.0,2.0
4,T7,2,5,1,1,1,-1,-1,1,10.87004573,0.138846881,93.05080868,1.6191,0.4802,1.100266628,2.0,0.0
5,T8,7,6,1,1,-1,1,1,-1,11.66449892,0.190926617,91.96550567,1.6297,1.7061,1.010433229,4.0,2.0
6,T10,11,7,0,1,0,0,0,0,10.74214331,0.107681129,91.54810308,1.6181,0.6988,1.009899225,2.0,0.0
7,T11,10,8,0,1,0,0,0,0,10.65480485,0.096243552,91.68918364,1.6158,0.6819,1.018711474,2.0,0.0
8,T14,6,9,1,1,1,-1,1,-1,10.4077505,1.34630995,91.65050973,,,,,
9,T15,3,10,1,2,-1,1,-1,1,11.80880924,0.39786809,93.30466254,1.6072,0.9697,0.940782769,2.0,0.0
10,T16,9,11,0,2,0,0,0,0,11.25650445,0.830331348,92.80535903,1.6119,1.052,0.9229768770000001,2.0,0.0
11,T20,17,12,1,2,1,1,1,-1,12.94533806,5.1098725819999995,89.68677357,,,,,
12,T21,18,13,1,2,-1,-1,-1,1,12.25159939,4.614486095,91.92011411,1.6058,1.1967,0.916036139,2.0,0.0
13,T22,14,14,1,2,-1,1,1,1,12.13604322,0.213593294,92.38973635,1.6185,1.5517,0.9240294659999999,2.0,2.0
14,T23,20,15,0,2,0,0,0,0,11.18623793,0.34886347799999995,92.67882306,1.6132,1.0751,0.9194277759999999,2.0,0.0
15,T24,15,16,1,2,-1,-1,1,-1,12.32331011,0.588809975,92.36389275,1.6048,2.3665,0.931351218,4.0,0.0
16,T25,12,17,1,2,1,1,-1,1,10.11742892,4.609704851,91.82896316,1.6791,1.4214,1.065580903,4.0,2.0
17,T26,13,18,1,2,1,-1,1,1,11.79226872,0.126495692,91.97231582,1.6308,2.0468,1.046141064,4.0,2.0
18,T27,16,19,1,2,1,-1,-1,-1,10.84712356,11.09472064,91.92105499,1.631,1.7988,1.026655219,4.0,2.0
19,T28,19,20,1,2,-1,1,-1,-1,12.06699139,0.438708055,91.62338515,1.6308,2.5432,1.064163227,6.0,2.0
20,T29,21,21,0,2,0,0,0,0,11.3971845,0.213316592,92.31078352,1.6026,0.8407,0.9792195140000001,2.0,0.0
