Labels,T1,
Type,Emission Scan,
Comment,,
Start,1399.95000,
Stop,1700.25000,
Step,1.050,
Fixed/Offset,900.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,uF900,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,NIR PMT,

1399.95000,3.872E+4,
1401.000,3.903E+4,
1402.05000,3.864E+4,
1403.1000,3.847E+4,
1404.15000,3.913E+4,
1405.2000,3.987E+4,
1406.25000,3.942E+4,
1407.3000,3.879E+4,
1408.35000,3.901E+4,
1409.4000,3.866E+4,
1410.45000,3.830E+4,
1411.5000,3.910E+4,
1412.55000,3.867E+4,
1413.6000,3.897E+4,
1414.65000,3.897E+4,
1415.7000,3.863E+4,
1416.75000,3.938E+4,
1417.8000,3.858E+4,
1418.85000,3.915E+4,
1419.9000,3.893E+4,
1420.95000,3.837E+4,
1422.000,3.907E+4,
1423.05000,3.930E+4,
1424.1000,3.963E+4,
1425.15000,3.936E+4,
1426.2000,3.912E+4,
1427.25000,3.949E+4,
1428.3000,3.902E+4,
1429.35000,3.883E+4,
1430.4000,3.919E+4,
1431.45000,3.923E+4,
1432.5000,3.936E+4,
1433.55000,3.943E+4,
1434.6000,3.943E+4,
1435.65000,3.922E+4,
1436.7000,4.027E+4,
1437.75000,3.993E+4,
1438.8000,3.981E+4,
1439.85000,4.020E+4,
1440.9000,4.012E+4,
1441.95000,4.029E+4,
1443.000,4.013E+4,
1444.05000,4.035E+4,
1445.1000,3.972E+4,
1446.15000,4.007E+4,
1447.2000,3.955E+4,
1448.25000,3.983E+4,
1449.3000,4.062E+4,
1450.35000,4.040E+4,
1451.4000,3.996E+4,
1452.45000,4.125E+4,
1453.5000,4.031E+4,
1454.55000,4.064E+4,
1455.6000,4.149E+4,
1456.65000,4.111E+4,
1457.7000,4.170E+4,
1458.75000,4.175E+4,
1459.8000,4.201E+4,
1460.85000,4.233E+4,
1461.9000,4.331E+4,
1462.95000,4.372E+4,
1464.000,4.386E+4,
1465.05000,4.503E+4,
1466.1000,4.521E+4,
1467.15000,4.556E+4,
1468.2000,4.584E+4,
1469.25000,4.708E+4,
1470.3000,4.719E+4,
1471.35000,4.792E+4,
1472.4000,4.842E+4,
1473.45000,4.855E+4,
1474.5000,4.915E+4,
1475.55000,4.988E+4,
1476.6000,5.007E+4,
1477.65000,5.123E+4,
1478.7000,5.135E+4,
1479.75000,5.244E+4,
1480.8000,5.273E+4,
1481.85000,5.408E+4,
1482.9000,5.435E+4,
1483.95000,5.467E+4,
1485.000,5.560E+4,
1486.05000,5.510E+4,
1487.1000,5.564E+4,
1488.15000,5.641E+4,
1489.2000,5.630E+4,
1490.25000,5.589E+4,
1491.3000,5.661E+4,
1492.35000,5.712E+4,
1493.4000,5.745E+4,
1494.45000,5.685E+4,
1495.5000,5.700E+4,
1496.55000,5.611E+4,
1497.6000,5.633E+4,
1498.65000,5.600E+4,
1499.7000,5.635E+4,
1500.75000,5.627E+4,
1501.8000,5.575E+4,
1502.85000,5.592E+4,
1503.9000,5.559E+4,
1504.95000,5.574E+4,
1506.000,5.579E+4,
1507.05000,5.567E+4,
1508.1000,5.528E+4,
1509.15000,5.527E+4,
1510.2000,5.520E+4,
1511.25000,5.509E+4,
1512.3000,5.555E+4,
1513.35000,5.628E+4,
1514.4000,5.667E+4,
1515.45000,5.812E+4,
1516.5000,5.863E+4,
1517.55000,5.968E+4,
1518.6000,6.144E+4,
1519.65000,6.290E+4,
1520.7000,6.503E+4,
1521.75000,6.717E+4,
1522.8000,7.032E+4,
1523.85000,7.386E+4,
1524.9000,7.677E+4,
1525.95000,7.994E+4,
1527.000,8.456E+4,
1528.05000,9.025E+4,
1529.1000,9.567E+4,
1530.15000,1.030E+5,
1531.2000,1.135E+5,
1532.25000,1.275E+5,
1533.3000,1.465E+5,
1534.35000,1.610E+5,
1535.4000,1.682E+5,
1536.45000,1.638E+5,
1537.5000,1.522E+5,
1538.55000,1.424E+5,
1539.6000,1.410E+5,
1540.65000,1.436E+5,
1541.7000,1.461E+5,
1542.75000,1.461E+5,
1543.8000,1.413E+5,
1544.85000,1.340E+5,
1545.9000,1.253E+5,
1546.95000,1.166E+5,
1548.000,1.096E+5,
1549.05000,1.036E+5,
1550.1000,9.660E+4,
1551.15000,9.314E+4,
1552.2000,8.811E+4,
1553.25000,8.554E+4,
1554.3000,8.293E+4,
1555.35000,8.060E+4,
1556.4000,7.883E+4,
1557.45000,7.691E+4,
1558.5000,7.624E+4,
1559.55000,7.597E+4,
1560.6000,7.408E+4,
1561.65000,7.432E+4,
1562.7000,7.343E+4,
1563.75000,7.329E+4,
1564.8000,7.249E+4,
1565.85000,7.119E+4,
1566.9000,7.020E+4,
1567.95000,6.907E+4,
1569.000,6.682E+4,
1570.05000,6.577E+4,
1571.1000,6.363E+4,
1572.15000,6.070E+4,
1573.2000,5.808E+4,
1574.25000,5.527E+4,
1575.3000,5.277E+4,
1576.35000,5.175E+4,
1577.4000,5.002E+4,
1578.45000,4.937E+4,
1579.5000,4.851E+4,
1580.55000,4.760E+4,
1581.6000,4.762E+4,
1582.65000,4.726E+4,
1583.7000,4.722E+4,
1584.75000,4.662E+4,
1585.8000,4.714E+4,
1586.85000,4.606E+4,
1587.9000,4.635E+4,
1588.95000,4.581E+4,
1590.00,4.623E+4,
1591.05000,4.673E+4,
1592.1000,4.650E+4,
1593.15000,4.611E+4,
1594.2000,4.628E+4,
1595.25000,4.596E+4,
1596.3000,4.595E+4,
1597.35000,4.651E+4,
1598.4000,4.617E+4,
1599.45000,4.587E+4,
1600.5000,4.552E+4,
1601.55000,4.634E+4,
1602.6000,4.584E+4,
1603.65000,4.708E+4,
1604.7000,4.705E+4,
1605.75000,4.672E+4,
1606.8000,4.612E+4,
1607.85000,4.600E+4,
1608.9000,4.583E+4,
1609.95000,4.575E+4,
1611.000,4.544E+4,
1612.05000,4.549E+4,
1613.1000,4.506E+4,
1614.15000,4.537E+4,
1615.2000,4.537E+4,
1616.25000,4.465E+4,
1617.3000,4.483E+4,
1618.35000,4.451E+4,
1619.4000,4.393E+4,
1620.45000,4.376E+4,
1621.5000,4.330E+4,
1622.55000,4.312E+4,
1623.6000,4.340E+4,
1624.65000,4.316E+4,
1625.7000,4.245E+4,
1626.75000,4.238E+4,
1627.8000,4.188E+4,
1628.85000,4.209E+4,
1629.9000,4.164E+4,
1630.95000,4.086E+4,
1632.000,4.145E+4,
1633.05000,4.086E+4,
1634.1000,4.059E+4,
1635.15000,4.099E+4,
1636.2000,4.120E+4,
1637.25000,4.053E+4,
1638.3000,4.094E+4,
1639.35000,4.005E+4,
1640.4000,3.991E+4,
1641.45000,4.013E+4,
1642.5000,3.986E+4,
1643.55000,3.991E+4,
1644.6000,3.972E+4,
1645.65000,3.962E+4,
1646.7000,4.018E+4,
1647.75000,3.971E+4,
1648.8000,4.000E+4,
1649.85000,4.012E+4,
1650.9000,4.038E+4,
1651.95000,3.928E+4,
1653.000,3.904E+4,
1654.05000,3.918E+4,
1655.1000,3.884E+4,
1656.15000,3.973E+4,
1657.2000,3.974E+4,
1658.25000,3.957E+4,
1659.3000,4.052E+4,
1660.35000,4.052E+4,
1661.4000,3.954E+4,
1662.45000,4.029E+4,
1663.5000,3.931E+4,
1664.55000,3.944E+4,
1665.6000,3.889E+4,
1666.65000,3.941E+4,
1667.7000,3.933E+4,
1668.75000,3.913E+4,
1669.8000,3.974E+4,
1670.85000,3.976E+4,
1671.9000,3.997E+4,
1672.95000,3.957E+4,
1674.000,3.915E+4,
1675.05000,3.934E+4,
1676.1000,3.937E+4,
1677.15000,3.939E+4,
1678.2000,3.925E+4,
1679.25000,3.959E+4,
1680.3000,3.949E+4,
1681.35000,3.897E+4,
1682.4000,3.895E+4,
1683.45000,3.966E+4,
1684.5000,3.938E+4,
1685.55000,4.022E+4,
1686.6000,3.952E+4,
1687.65000,3.949E+4,
1688.7000,3.942E+4,
1689.75000,3.975E+4,
1690.8000,3.869E+4,
1691.85000,3.900E+4,
1692.9000,3.931E+4,
1693.95000,3.985E+4,
1695.000,3.912E+4,
1696.05000,3.901E+4,
1697.1000,3.898E+4,
1698.15000,3.897E+4,
1699.2000,3.940E+4,
1700.25000,3.909E+4,
