Wavelength (nm),Epidermis_n,Epidermis_k
1400,1.4,0.006
1401,1.4,0.006
1402,1.4,0.006
1403,1.4,0.006
1404,1.4,0.006
1405,1.4,0.006
1406,1.4,0.006
1407,1.4,0.006
1408,1.4,0.006
1409,1.4,0.006
1410,1.4,0.006
1411,1.4,0.006
1412,1.4,0.006
1413,1.4,0.006
1414,1.4,0.006
1415,1.4,0.006
1416,1.4,0.006
1417,1.4,0.006
1418,1.4,0.006
1419,1.4,0.006
1420,1.4,0.006
1421,1.4,0.006
1422,1.4,0.006
1423,1.4,0.006
1424,1.4,0.006
1425,1.4,0.006
1426,1.4,0.006
1427,1.4,0.006
1428,1.4,0.006
1429,1.4,0.006
1430,1.4,0.006
1431,1.4,0.006
1432,1.4,0.006
1433,1.4,0.006
1434,1.4,0.006
1435,1.4,0.006
1436,1.4,0.006
1437,1.4,0.006
1438,1.4,0.006
1439,1.4,0.006
1440,1.4,0.006
1441,1.4,0.006
1442,1.4,0.006
1443,1.4,0.006
1444,1.4,0.006
1445,1.4,0.006
1446,1.4,0.006
1447,1.4,0.006
1448,1.4,0.006
1449,1.4,0.006
1450,1.4,0.006
1451,1.4,0.006
1452,1.4,0.006
1453,1.4,0.006
1454,1.4,0.006
1455,1.4,0.006
1456,1.4,0.006
1457,1.4,0.006
1458,1.4,0.006
1459,1.4,0.006
1460,1.4,0.006
1461,1.4,0.006
1462,1.4,0.006
1463,1.4,0.006
1464,1.4,0.006
1465,1.4,0.006
1466,1.4,0.006
1467,1.4,0.006
1468,1.4,0.006
1469,1.4,0.006
1470,1.4,0.006
1471,1.4,0.006
1472,1.4,0.006
1473,1.4,0.006
1474,1.4,0.006
1475,1.4,0.006
1476,1.4,0.006
1477,1.4,0.006
1478,1.4,0.006
1479,1.4,0.006
1480,1.4,0.006
1481,1.4,0.006
1482,1.4,0.006
1483,1.4,0.006
1484,1.4,0.006
1485,1.4,0.006
1486,1.4,0.006
1487,1.4,0.006
1488,1.4,0.006
1489,1.4,0.006
1490,1.4,0.006
1491,1.4,0.006
1492,1.4,0.006
1493,1.4,0.006
1494,1.4,0.006
1495,1.4,0.006
1496,1.4,0.006
1497,1.4,0.006
1498,1.4,0.006
1499,1.4,0.006
1500,1.4,0.006
1501,1.4,0.006
1502,1.4,0.006
1503,1.4,0.006
1504,1.4,0.006
1505,1.4,0.006
1506,1.4,0.006
1507,1.4,0.006
1508,1.4,0.006
1509,1.4,0.006
1510,1.4,0.006
1511,1.4,0.006
1512,1.4,0.006
1513,1.4,0.006
1514,1.4,0.006
1515,1.4,0.006
1516,1.4,0.006
1517,1.4,0.006
1518,1.4,0.006
1519,1.4,0.006
1520,1.4,0.006
1521,1.4,0.006
1522,1.4,0.006
1523,1.4,0.006
1524,1.4,0.006
1525,1.4,0.006
1526,1.4,0.006
1527,1.4,0.006
1528,1.4,0.006
1529,1.4,0.006
1530,1.4,0.006
1531,1.4,0.006
1532,1.4,0.006
1533,1.4,0.006
1534,1.4,0.006
1535,1.4,0.006
1536,1.4,0.006
1537,1.4,0.006
1538,1.4,0.006
1539,1.4,0.006
1540,1.4,0.006
1541,1.4,0.006
1542,1.4,0.006
1543,1.4,0.006
1544,1.4,0.006
1545,1.4,0.006
1546,1.4,0.006
1547,1.4,0.006
1548,1.4,0.006
1549,1.4,0.006
1550,1.4,0.006
1551,1.4,0.006
1552,1.4,0.006
1553,1.4,0.006
1554,1.4,0.006
1555,1.4,0.006
1556,1.4,0.006
1557,1.4,0.006
1558,1.4,0.006
1559,1.4,0.006
1560,1.4,0.006
1561,1.4,0.006
1562,1.4,0.006
1563,1.4,0.006
1564,1.4,0.006
1565,1.4,0.006
1566,1.4,0.006
1567,1.4,0.006
1568,1.4,0.006
1569,1.4,0.006
1570,1.4,0.006
1571,1.4,0.006
1572,1.4,0.006
1573,1.4,0.006
1574,1.4,0.006
1575,1.4,0.006
1576,1.4,0.006
1577,1.4,0.006
1578,1.4,0.006
1579,1.4,0.006
1580,1.4,0.006
1581,1.4,0.006
1582,1.4,0.006
1583,1.4,0.006
1584,1.4,0.006
1585,1.4,0.006
1586,1.4,0.006
1587,1.4,0.006
1588,1.4,0.006
1589,1.4,0.006
1590,1.4,0.006
1591,1.4,0.006
1592,1.4,0.006
1593,1.4,0.006
1594,1.4,0.006
1595,1.4,0.006
1596,1.4,0.006
1597,1.4,0.006
1598,1.4,0.006
1599,1.4,0.006
1600,1.4,0.006
