Wavelength (nm),Er_Layer_n,Er_Layer_k
1400,1.585,0.1051
1401,1.585,0.1051
1402,1.585,0.1051
1403,1.585,0.1051
1404,1.585,0.1051
1405,1.585,0.1051
1406,1.585,0.1051
1407,1.585,0.1051
1408,1.585,0.1051
1409,1.585,0.1051
1410,1.585,0.1051
1411,1.585,0.1051
1412,1.585,0.1051
1413,1.585,0.1051
1414,1.585,0.1051
1415,1.585,0.1051
1416,1.585,0.1051
1417,1.585,0.1051
1418,1.585,0.1051
1419,1.585,0.1051
1420,1.585,0.1051
1421,1.585,0.1051
1422,1.585,0.1051
1423,1.585,0.1051
1424,1.585,0.1051
1425,1.585,0.1051
1426,1.585,0.1051
1427,1.585,0.1051
1428,1.585,0.1051
1429,1.585,0.1051
1430,1.585,0.1051
1431,1.585,0.1051
1432,1.585,0.1051
1433,1.585,0.1051
1434,1.585,0.1051
1435,1.585,0.1051
1436,1.585,0.1051
1437,1.585,0.1051
1438,1.585,0.1051
1439,1.585,0.1051
1440,1.585,0.1051
1441,1.585,0.1051
1442,1.585,0.1051
1443,1.585,0.1051
1444,1.585,0.1051
1445,1.585,0.1051
1446,1.585,0.1051
1447,1.585,0.1051
1448,1.585,0.1051
1449,1.585,0.1051
1450,1.585,0.1051
1451,1.585,0.1051
1452,1.585,0.1051
1453,1.585,0.1051
1454,1.585,0.1051
1455,1.585,0.1051
1456,1.585,0.1051
1457,1.585,0.1051
1458,1.585,0.1051
1459,1.585,0.1051
1460,1.585,0.1051
1461,1.585,0.1051
1462,1.585,0.1051
1463,1.585,0.1051
1464,1.585,0.1051
1465,1.585,0.1051
1466,1.585,0.1051
1467,1.585,0.1051
1468,1.585,0.1051
1469,1.585,0.1051
1470,1.585,0.1051
1471,1.585,0.1051
1472,1.585,0.1051
1473,1.585,0.1051
1474,1.585,0.1051
1475,1.585,0.1051
1476,1.585,0.1051
1477,1.585,0.1051
1478,1.585,0.1051
1479,1.585,0.1051
1480,1.585,0.1051
1481,1.585,0.1051
1482,1.585,0.1051
1483,1.585,0.1051
1484,1.585,0.1051
1485,1.585,0.1051
1486,1.585,0.1051
1487,1.585,0.1051
1488,1.585,0.1051
1489,1.585,0.1051
1490,1.585,0.1051
1491,1.585,0.1051
1492,1.585,0.1051
1493,1.585,0.1051
1494,1.585,0.1051
1495,1.585,0.1051
1496,1.585,0.1051
1497,1.585,0.1051
1498,1.585,0.1051
1499,1.585,0.1051
1500,1.585,0.1051
1501,1.585,0.1051
1502,1.585,0.1051
1503,1.585,0.1051
1504,1.585,0.1051
1505,1.585,0.1051
1506,1.585,0.1051
1507,1.585,0.1051
1508,1.585,0.1051
1509,1.585,0.1051
1510,1.585,0.1051
1511,1.585,0.1051
1512,1.585,0.1051
1513,1.585,0.1051
1514,1.585,0.1051
1515,1.585,0.1051
1516,1.585,0.1051
1517,1.585,0.1051
1518,1.585,0.1051
1519,1.585,0.1051
1520,1.585,0.1051
1521,1.585,0.1051
1522,1.585,0.1051
1523,1.585,0.1051
1524,1.585,0.1051
1525,1.585,0.1051
1526,1.585,0.1051
1527,1.585,0.1051
1528,1.585,0.1051
1529,1.585,0.1051
1530,1.585,0.1051
1531,1.585,0.1051
1532,1.585,0.1051
1533,1.585,0.1051
1534,1.585,0.1051
1535,1.585,0.1051
1536,1.585,0.1051
1537,1.585,0.1051
1538,1.585,0.1051
1539,1.585,0.1051
1540,1.585,0.1051
1541,1.585,0.1051
1542,1.585,0.1051
1543,1.585,0.1051
1544,1.585,0.1051
1545,1.585,0.1051
1546,1.585,0.1051
1547,1.585,0.1051
1548,1.585,0.1051
1549,1.585,0.1051
1550,1.585,0.1051
1551,1.585,0.1051
1552,1.585,0.1051
1553,1.585,0.1051
1554,1.585,0.1051
1555,1.585,0.1051
1556,1.585,0.1051
1557,1.585,0.1051
1558,1.585,0.1051
1559,1.585,0.1051
1560,1.585,0.1051
1561,1.585,0.1051
1562,1.585,0.1051
1563,1.585,0.1051
1564,1.585,0.1051
1565,1.585,0.1051
1566,1.585,0.1051
1567,1.585,0.1051
1568,1.585,0.1051
1569,1.585,0.1051
1570,1.585,0.1051
1571,1.585,0.1051
1572,1.585,0.1051
1573,1.585,0.1051
1574,1.585,0.1051
1575,1.585,0.1051
1576,1.585,0.1051
1577,1.585,0.1051
1578,1.585,0.1051
1579,1.585,0.1051
1580,1.585,0.1051
1581,1.585,0.1051
1582,1.585,0.1051
1583,1.585,0.1051
1584,1.585,0.1051
1585,1.585,0.1051
1586,1.585,0.1051
1587,1.585,0.1051
1588,1.585,0.1051
1589,1.585,0.1051
1590,1.585,0.1051
1591,1.585,0.1051
1592,1.585,0.1051
1593,1.585,0.1051
1594,1.585,0.1051
1595,1.585,0.1051
1596,1.585,0.1051
1597,1.585,0.1051
1598,1.585,0.1051
1599,1.585,0.1051
1600,1.585,0.1051
